id;tracking_code;date;details
1;global;2019-11-21T08:04:30;Moroccan Dirham
2;Springs connecting;2019-11-21T03:24:50;connecting Planner Refined
3;engage Granite Grocery;2019-11-20T16:40:38;Credit Card Account transmitter cyan
4;Checking Account;2019-11-20T11:16:10;Home Loan Account withdrawal
5;partnerships International;2019-11-21T02:26:33;Berkshire solid state
6;middleware Switzerland;2019-11-20T18:03:26;back-end Via indexing
7;Business-focused Canyon Orchestrator;2019-11-20T22:58:40;concept payment
8;robust;2019-11-20T21:54:22;Creek
9;Shirt Metal;2019-11-20T19:25:11;Chicken
10;e-business RSS;2019-11-20T22:26:06;Officer Savings Account Automated
